input,output
type of salary is float,ColumnDataType `salary` = 995618
length of cusip < 3174,ColumnLength `cusip` < 3174
type of cusip is float,ColumnDataType `cusip` = 3174
ticker_symbol = 404970,ColumnValue `ticker_symbol` = 404970
ticker_symbol <= 283549,ColumnValue `ticker_symbol` <= 283549
length of holdings >= 3655,ColumnLength `holdings` >= 3655
type of height is boolean,ColumnDataType `height` = 3655
length of age = 7428,ColumnLength `age` = 7428
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 7428
type of height is string,ColumnDataType `height` = 7428
ticker_symbol < 341709,ColumnValue `ticker_symbol` < 341709
length of age <= 7020,ColumnLength `age` <= 7020
salary >= 129249,ColumnValue `salary` >= 129249
weight >= 392735,ColumnValue `weight` >= 392735
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 392735
height <= 108587,ColumnValue `height` <= 108587
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 108587
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 108587
age >= 368616,ColumnValue `age` >= 368616
length of holdings > 8320,ColumnLength `holdings` > 8320
length of cusip >= 251,ColumnLength `cusip` >= 251
type of cusip is string,ColumnDataType `cusip` = 251
salary < 95643,ColumnValue `salary` < 95643
type of weight is float,ColumnDataType `weight` = 95643
holdings > 876905,ColumnValue `holdings` > 876905
length of height <= 9358,ColumnLength `height` <= 9358
length of height < 4070,ColumnLength `height` < 4070
cusip = 870926,ColumnValue `cusip` = 870926
salary > 419391,ColumnValue `salary` > 419391
type of weight is float,ColumnDataType `weight` = 419391
cusip > 155505,ColumnValue `cusip` > 155505
type of cusip is float,ColumnDataType `cusip` = 155505
cusip = 725567,ColumnValue `cusip` = 725567
age > 975530,ColumnValue `age` > 975530
ticker_symbol >= 935520,ColumnValue `ticker_symbol` >= 935520
length of height >= 3510,ColumnLength `height` >= 3510
salary < 803795,ColumnValue `salary` < 803795
length of ticker_symbol <= 3756,ColumnLength `ticker_symbol` <= 3756
type of age is int,ColumnDataType `age` = 3756
type of age is int,ColumnDataType `age` = 3756
type of height is int,ColumnDataType `height` = 3756
type of age is boolean,ColumnDataType `age` = 3756
type of weight is int,ColumnDataType `weight` = 3756
length of ticker_symbol = 5985,ColumnLength `ticker_symbol` = 5985
type of cusip is int,ColumnDataType `cusip` = 5985
length of height < 2534,ColumnLength `height` < 2534
age < 695848,ColumnValue `age` < 695848
age <= 399046,ColumnValue `age` <= 399046
height > 401206,ColumnValue `height` > 401206
length of salary = 4758,ColumnLength `salary` = 4758
holdings = 136674,ColumnValue `holdings` = 136674
length of cusip < 2747,ColumnLength `cusip` < 2747
type of weight is boolean,ColumnDataType `weight` = 2747
type of holdings is float,ColumnDataType `holdings` = 2747
height = 303560,ColumnValue `height` = 303560
length of age <= 6635,ColumnLength `age` <= 6635
length of age > 6607,ColumnLength `age` > 6607
type of cusip is float,ColumnDataType `cusip` = 6607
type of holdings is float,ColumnDataType `holdings` = 6607
height >= 387101,ColumnValue `height` >= 387101
length of cusip <= 425,ColumnLength `cusip` <= 425
height >= 495131,ColumnValue `height` >= 495131
type of height is boolean,ColumnDataType `height` = 495131
ticker_symbol = 667619,ColumnValue `ticker_symbol` = 667619
type of holdings is int,ColumnDataType `holdings` = 667619
length of salary < 3261,ColumnLength `salary` < 3261
length of height = 6720,ColumnLength `height` = 6720
length of age >= 7146,ColumnLength `age` >= 7146
salary >= 957604,ColumnValue `salary` >= 957604
length of weight < 3133,ColumnLength `weight` < 3133
length of holdings < 6133,ColumnLength `holdings` < 6133
type of salary is string,ColumnDataType `salary` = 6133
weight > 819449,ColumnValue `weight` > 819449
type of height is boolean,ColumnDataType `height` = 819449
type of age is string,ColumnDataType `age` = 819449
type of cusip is boolean,ColumnDataType `cusip` = 819449
length of age <= 4644,ColumnLength `age` <= 4644
length of height = 7813,ColumnLength `height` = 7813
length of age <= 2538,ColumnLength `age` <= 2538
holdings >= 106546,ColumnValue `holdings` >= 106546
type of salary is boolean,ColumnDataType `salary` = 106546
holdings < 408676,ColumnValue `holdings` < 408676
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 408676
holdings > 697424,ColumnValue `holdings` > 697424
cusip > 706020,ColumnValue `cusip` > 706020
salary = 410238,ColumnValue `salary` = 410238
ticker_symbol = 127356,ColumnValue `ticker_symbol` = 127356
holdings > 836535,ColumnValue `holdings` > 836535
length of weight <= 2529,ColumnLength `weight` <= 2529
type of height is string,ColumnDataType `height` = 2529
type of holdings is int,ColumnDataType `holdings` = 2529
type of salary is string,ColumnDataType `salary` = 2529
length of holdings <= 4791,ColumnLength `holdings` <= 4791
type of holdings is string,ColumnDataType `holdings` = 4791
age > 457194,ColumnValue `age` > 457194
type of age is int,ColumnDataType `age` = 457194
salary > 875264,ColumnValue `salary` > 875264
ticker_symbol = 960080,ColumnValue `ticker_symbol` = 960080
type of weight is int,ColumnDataType `weight` = 960080
height >= 816586,ColumnValue `height` >= 816586
holdings >= 317069,ColumnValue `holdings` >= 317069
length of age >= 9183,ColumnLength `age` >= 9183
holdings > 886139,ColumnValue `holdings` > 886139
height >= 357243,ColumnValue `height` >= 357243
salary < 998297,ColumnValue `salary` < 998297
length of height >= 1661,ColumnLength `height` >= 1661
length of ticker_symbol <= 6242,ColumnLength `ticker_symbol` <= 6242
type of holdings is boolean,ColumnDataType `holdings` = 6242
age > 563904,ColumnValue `age` > 563904
type of age is int,ColumnDataType `age` = 563904
type of height is boolean,ColumnDataType `height` = 563904
weight > 342319,ColumnValue `weight` > 342319
length of height < 3001,ColumnLength `height` < 3001
type of cusip is string,ColumnDataType `cusip` = 3001
salary >= 865819,ColumnValue `salary` >= 865819
type of height is boolean,ColumnDataType `height` = 865819
type of salary is int,ColumnDataType `salary` = 865819
length of weight < 7532,ColumnLength `weight` < 7532
length of holdings > 4217,ColumnLength `holdings` > 4217
salary <= 841525,ColumnValue `salary` <= 841525
length of ticker_symbol > 2807,ColumnLength `ticker_symbol` > 2807
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 2807
type of height is int,ColumnDataType `height` = 2807
type of cusip is int,ColumnDataType `cusip` = 2807
type of weight is float,ColumnDataType `weight` = 2807
length of salary < 6247,ColumnLength `salary` < 6247
weight > 598683,ColumnValue `weight` > 598683
length of weight = 8886,ColumnLength `weight` = 8886
length of age < 6479,ColumnLength `age` < 6479
height < 678511,ColumnValue `height` < 678511
length of ticker_symbol < 8585,ColumnLength `ticker_symbol` < 8585
weight >= 296143,ColumnValue `weight` >= 296143
length of weight > 7560,ColumnLength `weight` > 7560
type of holdings is string,ColumnDataType `holdings` = 7560
length of salary > 8289,ColumnLength `salary` > 8289
type of height is int,ColumnDataType `height` = 8289
type of cusip is int,ColumnDataType `cusip` = 8289
type of holdings is string,ColumnDataType `holdings` = 8289
length of age >= 8704,ColumnLength `age` >= 8704
height >= 294658,ColumnValue `height` >= 294658
length of cusip >= 9847,ColumnLength `cusip` >= 9847
length of weight <= 4739,ColumnLength `weight` <= 4739
type of cusip is float,ColumnDataType `cusip` = 4739
type of salary is int,ColumnDataType `salary` = 4739
length of cusip < 8128,ColumnLength `cusip` < 8128
height >= 815050,ColumnValue `height` >= 815050
length of cusip >= 4207,ColumnLength `cusip` >= 4207
length of holdings <= 7347,ColumnLength `holdings` <= 7347
ticker_symbol > 264817,ColumnValue `ticker_symbol` > 264817
length of holdings > 2680,ColumnLength `holdings` > 2680
type of height is float,ColumnDataType `height` = 2680
length of salary = 2332,ColumnLength `salary` = 2332
age < 445972,ColumnValue `age` < 445972
height = 510449,ColumnValue `height` = 510449
length of holdings = 231,ColumnLength `holdings` = 231
type of age is int,ColumnDataType `age` = 231
cusip = 912969,ColumnValue `cusip` = 912969
length of age > 5911,ColumnLength `age` > 5911
type of holdings is boolean,ColumnDataType `holdings` = 5911
type of cusip is boolean,ColumnDataType `cusip` = 5911
type of height is boolean,ColumnDataType `height` = 5911
weight = 258816,ColumnValue `weight` = 258816
length of salary <= 2381,ColumnLength `salary` <= 2381
type of cusip is boolean,ColumnDataType `cusip` = 2381
length of salary <= 7415,ColumnLength `salary` <= 7415
ticker_symbol <= 536785,ColumnValue `ticker_symbol` <= 536785
length of salary < 1772,ColumnLength `salary` < 1772
type of height is int,ColumnDataType `height` = 1772
type of weight is boolean,ColumnDataType `weight` = 1772
weight >= 452432,ColumnValue `weight` >= 452432
ticker_symbol > 438824,ColumnValue `ticker_symbol` > 438824
weight >= 686567,ColumnValue `weight` >= 686567
length of salary <= 8527,ColumnLength `salary` <= 8527
type of cusip is boolean,ColumnDataType `cusip` = 8527
type of height is float,ColumnDataType `height` = 8527
type of salary is string,ColumnDataType `salary` = 8527
cusip <= 99824,ColumnValue `cusip` <= 99824
type of weight is int,ColumnDataType `weight` = 99824
type of weight is string,ColumnDataType `weight` = 99824
length of salary < 2510,ColumnLength `salary` < 2510
length of height > 9845,ColumnLength `height` > 9845
type of age is boolean,ColumnDataType `age` = 9845
salary >= 8148,ColumnValue `salary` >= 8148
type of age is string,ColumnDataType `age` = 8148
cusip = 676737,ColumnValue `cusip` = 676737
length of height < 4331,ColumnLength `height` < 4331
ticker_symbol < 821756,ColumnValue `ticker_symbol` < 821756
length of age >= 7170,ColumnLength `age` >= 7170
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 7170
type of holdings is float,ColumnDataType `holdings` = 7170
salary <= 53761,ColumnValue `salary` <= 53761
length of weight < 4655,ColumnLength `weight` < 4655
length of age = 4556,ColumnLength `age` = 4556
type of age is float,ColumnDataType `age` = 4556
ticker_symbol > 900451,ColumnValue `ticker_symbol` > 900451
length of age <= 6809,ColumnLength `age` <= 6809
salary <= 403956,ColumnValue `salary` <= 403956
type of height is boolean,ColumnDataType `height` = 403956
length of cusip < 4533,ColumnLength `cusip` < 4533
salary = 891436,ColumnValue `salary` = 891436
length of holdings < 3071,ColumnLength `holdings` < 3071
cusip >= 628490,ColumnValue `cusip` >= 628490
length of weight >= 8877,ColumnLength `weight` >= 8877
type of age is int,ColumnDataType `age` = 8877
type of height is int,ColumnDataType `height` = 8877
type of weight is float,ColumnDataType `weight` = 8877
type of weight is float,ColumnDataType `weight` = 8877
height >= 553603,ColumnValue `height` >= 553603
weight = 14651,ColumnValue `weight` = 14651
length of age >= 4812,ColumnLength `age` >= 4812
age >= 468924,ColumnValue `age` >= 468924
type of height is int,ColumnDataType `height` = 468924
salary >= 644380,ColumnValue `salary` >= 644380
type of salary is boolean,ColumnDataType `salary` = 644380
length of ticker_symbol >= 6568,ColumnLength `ticker_symbol` >= 6568
length of weight > 8742,ColumnLength `weight` > 8742
length of salary >= 1956,ColumnLength `salary` >= 1956
type of holdings is int,ColumnDataType `holdings` = 1956
length of salary < 1965,ColumnLength `salary` < 1965
length of salary >= 782,ColumnLength `salary` >= 782
length of weight = 623,ColumnLength `weight` = 623
length of age < 9152,ColumnLength `age` < 9152
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 9152
length of age = 126,ColumnLength `age` = 126
type of salary is string,ColumnDataType `salary` = 126
ticker_symbol <= 55881,ColumnValue `ticker_symbol` <= 55881
height <= 11477,ColumnValue `height` <= 11477
type of holdings is boolean,ColumnDataType `holdings` = 11477
type of cusip is int,ColumnDataType `cusip` = 11477
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 11477
weight <= 867732,ColumnValue `weight` <= 867732
length of salary <= 6131,ColumnLength `salary` <= 6131
type of weight is boolean,ColumnDataType `weight` = 6131
cusip > 133639,ColumnValue `cusip` > 133639
type of weight is boolean,ColumnDataType `weight` = 133639
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 133639
type of cusip is int,ColumnDataType `cusip` = 133639
ticker_symbol > 816279,ColumnValue `ticker_symbol` > 816279
length of height < 7443,ColumnLength `height` < 7443
age <= 305039,ColumnValue `age` <= 305039
cusip = 590035,ColumnValue `cusip` = 590035
type of age is float,ColumnDataType `age` = 590035
age < 140475,ColumnValue `age` < 140475
age > 515578,ColumnValue `age` > 515578
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 515578
salary < 607521,ColumnValue `salary` < 607521
type of age is string,ColumnDataType `age` = 607521
type of age is boolean,ColumnDataType `age` = 607521
salary <= 112125,ColumnValue `salary` <= 112125
holdings <= 104798,ColumnValue `holdings` <= 104798
length of holdings <= 7077,ColumnLength `holdings` <= 7077
age < 180215,ColumnValue `age` < 180215
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 180215
length of age >= 6196,ColumnLength `age` >= 6196
weight <= 534084,ColumnValue `weight` <= 534084
ticker_symbol >= 536441,ColumnValue `ticker_symbol` >= 536441
length of salary >= 7160,ColumnLength `salary` >= 7160
holdings <= 437630,ColumnValue `holdings` <= 437630
type of salary is boolean,ColumnDataType `salary` = 437630
cusip < 176543,ColumnValue `cusip` < 176543
length of weight > 2599,ColumnLength `weight` > 2599
length of age > 2460,ColumnLength `age` > 2460
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 2460
ticker_symbol > 128808,ColumnValue `ticker_symbol` > 128808
age = 92963,ColumnValue `age` = 92963
height < 904379,ColumnValue `height` < 904379
length of age = 4585,ColumnLength `age` = 4585
weight <= 897904,ColumnValue `weight` <= 897904
cusip > 742348,ColumnValue `cusip` > 742348
weight > 123536,ColumnValue `weight` > 123536
type of holdings is string,ColumnDataType `holdings` = 123536
length of cusip <= 7369,ColumnLength `cusip` <= 7369
length of ticker_symbol <= 7791,ColumnLength `ticker_symbol` <= 7791
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 7791
type of holdings is boolean,ColumnDataType `holdings` = 7791
length of height = 5698,ColumnLength `height` = 5698
type of salary is boolean,ColumnDataType `salary` = 5698
length of cusip <= 1080,ColumnLength `cusip` <= 1080
length of salary = 1933,ColumnLength `salary` = 1933
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 1933
length of holdings < 1170,ColumnLength `holdings` < 1170
type of holdings is boolean,ColumnDataType `holdings` = 1170
type of holdings is boolean,ColumnDataType `holdings` = 1170
type of salary is float,ColumnDataType `salary` = 1170
type of holdings is int,ColumnDataType `holdings` = 1170
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 1170
holdings <= 681878,ColumnValue `holdings` <= 681878
length of cusip > 6044,ColumnLength `cusip` > 6044
length of cusip = 9653,ColumnLength `cusip` = 9653
type of height is boolean,ColumnDataType `height` = 9653
type of salary is int,ColumnDataType `salary` = 9653
height <= 27873,ColumnValue `height` <= 27873
ticker_symbol < 219801,ColumnValue `ticker_symbol` < 219801
length of cusip <= 116,ColumnLength `cusip` <= 116
age <= 54018,ColumnValue `age` <= 54018
age >= 645836,ColumnValue `age` >= 645836
length of ticker_symbol >= 5156,ColumnLength `ticker_symbol` >= 5156
height > 427857,ColumnValue `height` > 427857
length of height >= 7387,ColumnLength `height` >= 7387
type of age is string,ColumnDataType `age` = 7387
length of holdings <= 5614,ColumnLength `holdings` <= 5614
length of age > 5171,ColumnLength `age` > 5171
type of holdings is string,ColumnDataType `holdings` = 5171
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 5171
cusip <= 489782,ColumnValue `cusip` <= 489782
type of weight is boolean,ColumnDataType `weight` = 489782
weight <= 155512,ColumnValue `weight` <= 155512
length of cusip > 3472,ColumnLength `cusip` > 3472
holdings < 948276,ColumnValue `holdings` < 948276
type of cusip is float,ColumnDataType `cusip` = 948276
length of holdings < 8528,ColumnLength `holdings` < 8528
type of cusip is int,ColumnDataType `cusip` = 8528
type of weight is boolean,ColumnDataType `weight` = 8528
age <= 276062,ColumnValue `age` <= 276062
type of salary is float,ColumnDataType `salary` = 276062
length of ticker_symbol >= 4401,ColumnLength `ticker_symbol` >= 4401
length of age = 5924,ColumnLength `age` = 5924
type of cusip is string,ColumnDataType `cusip` = 5924
holdings = 793885,ColumnValue `holdings` = 793885
height < 401414,ColumnValue `height` < 401414
salary < 777458,ColumnValue `salary` < 777458
weight <= 154064,ColumnValue `weight` <= 154064
ticker_symbol = 718116,ColumnValue `ticker_symbol` = 718116
cusip < 24421,ColumnValue `cusip` < 24421
age = 14274,ColumnValue `age` = 14274
salary >= 726418,ColumnValue `salary` >= 726418
length of weight >= 9481,ColumnLength `weight` >= 9481
length of height <= 6236,ColumnLength `height` <= 6236
length of weight = 6848,ColumnLength `weight` = 6848
type of cusip is boolean,ColumnDataType `cusip` = 6848
length of cusip >= 6633,ColumnLength `cusip` >= 6633
length of height < 5602,ColumnLength `height` < 5602
length of cusip <= 1631,ColumnLength `cusip` <= 1631
ticker_symbol = 526473,ColumnValue `ticker_symbol` = 526473
type of age is float,ColumnDataType `age` = 526473
ticker_symbol <= 646005,ColumnValue `ticker_symbol` <= 646005
length of weight <= 3148,ColumnLength `weight` <= 3148
length of ticker_symbol < 1305,ColumnLength `ticker_symbol` < 1305
type of age is float,ColumnDataType `age` = 1305
type of cusip is float,ColumnDataType `cusip` = 1305
length of holdings <= 9890,ColumnLength `holdings` <= 9890
length of age <= 1219,ColumnLength `age` <= 1219
type of cusip is int,ColumnDataType `cusip` = 1219
type of age is int,ColumnDataType `age` = 1219
length of ticker_symbol > 3539,ColumnLength `ticker_symbol` > 3539
length of cusip > 6227,ColumnLength `cusip` > 6227
ticker_symbol < 843772,ColumnValue `ticker_symbol` < 843772
length of age > 7937,ColumnLength `age` > 7937
cusip > 23289,ColumnValue `cusip` > 23289
type of age is string,ColumnDataType `age` = 23289
length of holdings < 5148,ColumnLength `holdings` < 5148
age <= 342098,ColumnValue `age` <= 342098
length of holdings = 8029,ColumnLength `holdings` = 8029
salary >= 371172,ColumnValue `salary` >= 371172
type of height is int,ColumnDataType `height` = 371172
type of weight is float,ColumnDataType `weight` = 371172
length of weight = 2641,ColumnLength `weight` = 2641
length of age < 3134,ColumnLength `age` < 3134
type of cusip is int,ColumnDataType `cusip` = 3134
type of cusip is string,ColumnDataType `cusip` = 3134
cusip = 227261,ColumnValue `cusip` = 227261
type of salary is int,ColumnDataType `salary` = 227261
type of weight is boolean,ColumnDataType `weight` = 227261
salary < 603643,ColumnValue `salary` < 603643
type of height is string,ColumnDataType `height` = 603643
type of salary is boolean,ColumnDataType `salary` = 603643
salary >= 36814,ColumnValue `salary` >= 36814
length of height = 2678,ColumnLength `height` = 2678
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 2678
length of height > 2582,ColumnLength `height` > 2582
length of height = 2098,ColumnLength `height` = 2098
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 2098
type of cusip is boolean,ColumnDataType `cusip` = 2098
holdings <= 352279,ColumnValue `holdings` <= 352279
ticker_symbol = 143211,ColumnValue `ticker_symbol` = 143211
type of age is int,ColumnDataType `age` = 143211
length of ticker_symbol >= 9311,ColumnLength `ticker_symbol` >= 9311
length of age < 2247,ColumnLength `age` < 2247
type of salary is float,ColumnDataType `salary` = 2247
type of weight is int,ColumnDataType `weight` = 2247
age <= 194683,ColumnValue `age` <= 194683
type of height is float,ColumnDataType `height` = 194683
length of ticker_symbol = 6553,ColumnLength `ticker_symbol` = 6553
type of weight is boolean,ColumnDataType `weight` = 6553
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 6553
salary >= 910831,ColumnValue `salary` >= 910831
salary >= 755141,ColumnValue `salary` >= 755141
length of age > 7602,ColumnLength `age` > 7602
salary = 790231,ColumnValue `salary` = 790231
salary = 759675,ColumnValue `salary` = 759675
type of weight is string,ColumnDataType `weight` = 759675
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 759675
type of weight is float,ColumnDataType `weight` = 759675
length of holdings >= 648,ColumnLength `holdings` >= 648
weight > 488862,ColumnValue `weight` > 488862
salary = 594557,ColumnValue `salary` = 594557
ticker_symbol > 824452,ColumnValue `ticker_symbol` > 824452
ticker_symbol >= 660721,ColumnValue `ticker_symbol` >= 660721
weight <= 655058,ColumnValue `weight` <= 655058
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 655058
length of weight >= 9981,ColumnLength `weight` >= 9981
ticker_symbol = 100922,ColumnValue `ticker_symbol` = 100922
age < 441945,ColumnValue `age` < 441945
holdings >= 104333,ColumnValue `holdings` >= 104333
type of age is float,ColumnDataType `age` = 104333
height >= 241587,ColumnValue `height` >= 241587
type of salary is int,ColumnDataType `salary` = 241587
length of salary <= 5804,ColumnLength `salary` <= 5804
type of salary is float,ColumnDataType `salary` = 5804
length of weight <= 4098,ColumnLength `weight` <= 4098
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 4098
length of weight < 9486,ColumnLength `weight` < 9486
length of height <= 3528,ColumnLength `height` <= 3528
length of weight = 9671,ColumnLength `weight` = 9671
age < 276494,ColumnValue `age` < 276494
length of age > 9271,ColumnLength `age` > 9271
length of height < 9359,ColumnLength `height` < 9359
length of holdings < 9840,ColumnLength `holdings` < 9840
type of salary is float,ColumnDataType `salary` = 9840
type of weight is float,ColumnDataType `weight` = 9840
type of salary is string,ColumnDataType `salary` = 9840
height > 612599,ColumnValue `height` > 612599
type of salary is string,ColumnDataType `salary` = 612599
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 612599
length of age = 3373,ColumnLength `age` = 3373
height < 494934,ColumnValue `height` < 494934
ticker_symbol >= 60190,ColumnValue `ticker_symbol` >= 60190
age > 514157,ColumnValue `age` > 514157
length of height > 4752,ColumnLength `height` > 4752
weight >= 627165,ColumnValue `weight` >= 627165
type of salary is string,ColumnDataType `salary` = 627165
type of height is boolean,ColumnDataType `height` = 627165
type of salary is string,ColumnDataType `salary` = 627165
length of ticker_symbol = 1845,ColumnLength `ticker_symbol` = 1845
length of ticker_symbol >= 4514,ColumnLength `ticker_symbol` >= 4514
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 4514
holdings >= 495768,ColumnValue `holdings` >= 495768
salary < 75385,ColumnValue `salary` < 75385
ticker_symbol < 570141,ColumnValue `ticker_symbol` < 570141
ticker_symbol < 148913,ColumnValue `ticker_symbol` < 148913
type of cusip is string,ColumnDataType `cusip` = 148913
cusip >= 602645,ColumnValue `cusip` >= 602645
ticker_symbol > 680057,ColumnValue `ticker_symbol` > 680057
length of weight < 4067,ColumnLength `weight` < 4067
age <= 615369,ColumnValue `age` <= 615369
cusip > 16912,ColumnValue `cusip` > 16912
weight > 944751,ColumnValue `weight` > 944751
type of weight is string,ColumnDataType `weight` = 944751
length of weight <= 9730,ColumnLength `weight` <= 9730
length of holdings > 5175,ColumnLength `holdings` > 5175
length of age < 5425,ColumnLength `age` < 5425
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 5425
length of height >= 1234,ColumnLength `height` >= 1234
type of age is float,ColumnDataType `age` = 1234
length of holdings = 5810,ColumnLength `holdings` = 5810
holdings > 438300,ColumnValue `holdings` > 438300
type of weight is boolean,ColumnDataType `weight` = 438300
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 438300
type of height is boolean,ColumnDataType `height` = 438300
length of age < 8963,ColumnLength `age` < 8963
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 8963
type of salary is float,ColumnDataType `salary` = 8963
type of cusip is boolean,ColumnDataType `cusip` = 8963
holdings >= 436925,ColumnValue `holdings` >= 436925
length of ticker_symbol >= 7418,ColumnLength `ticker_symbol` >= 7418
length of salary = 3025,ColumnLength `salary` = 3025
type of weight is boolean,ColumnDataType `weight` = 3025
cusip <= 134800,ColumnValue `cusip` <= 134800
type of holdings is int,ColumnDataType `holdings` = 134800
length of cusip > 2032,ColumnLength `cusip` > 2032
length of height < 3494,ColumnLength `height` < 3494
type of age is float,ColumnDataType `age` = 3494
length of weight <= 2153,ColumnLength `weight` <= 2153
type of salary is boolean,ColumnDataType `salary` = 2153
length of ticker_symbol <= 7705,ColumnLength `ticker_symbol` <= 7705
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 7705
type of age is int,ColumnDataType `age` = 7705
type of weight is string,ColumnDataType `weight` = 7705
length of age <= 8998,ColumnLength `age` <= 8998
type of height is string,ColumnDataType `height` = 8998
age >= 664170,ColumnValue `age` >= 664170
type of height is string,ColumnDataType `height` = 664170
holdings >= 270856,ColumnValue `holdings` >= 270856
length of salary > 870,ColumnLength `salary` > 870
type of salary is int,ColumnDataType `salary` = 870
type of age is int,ColumnDataType `age` = 870
holdings < 404157,ColumnValue `holdings` < 404157
length of cusip >= 2447,ColumnLength `cusip` >= 2447
length of ticker_symbol = 5030,ColumnLength `ticker_symbol` = 5030
length of holdings <= 8522,ColumnLength `holdings` <= 8522
length of cusip = 7035,ColumnLength `cusip` = 7035
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 7035
type of salary is float,ColumnDataType `salary` = 7035
type of weight is boolean,ColumnDataType `weight` = 7035
length of age < 8297,ColumnLength `age` < 8297
length of weight <= 1380,ColumnLength `weight` <= 1380
length of height < 6650,ColumnLength `height` < 6650
height > 163450,ColumnValue `height` > 163450
length of holdings >= 9888,ColumnLength `holdings` >= 9888
cusip > 433593,ColumnValue `cusip` > 433593
holdings < 513987,ColumnValue `holdings` < 513987
length of height <= 9901,ColumnLength `height` <= 9901
length of holdings = 9084,ColumnLength `holdings` = 9084
holdings > 812191,ColumnValue `holdings` > 812191
holdings > 830040,ColumnValue `holdings` > 830040
length of cusip < 3428,ColumnLength `cusip` < 3428
length of cusip > 9496,ColumnLength `cusip` > 9496
length of holdings >= 2877,ColumnLength `holdings` >= 2877
length of age < 6028,ColumnLength `age` < 6028
holdings > 696023,ColumnValue `holdings` > 696023
type of height is float,ColumnDataType `height` = 696023
type of cusip is string,ColumnDataType `cusip` = 696023
type of age is float,ColumnDataType `age` = 696023
age >= 289815,ColumnValue `age` >= 289815
length of height > 4711,ColumnLength `height` > 4711
cusip < 971862,ColumnValue `cusip` < 971862
length of salary > 8515,ColumnLength `salary` > 8515
length of height < 8675,ColumnLength `height` < 8675
holdings <= 8039,ColumnValue `holdings` <= 8039
length of salary > 4220,ColumnLength `salary` > 4220
weight <= 823856,ColumnValue `weight` <= 823856
length of weight >= 8425,ColumnLength `weight` >= 8425
salary >= 145782,ColumnValue `salary` >= 145782
length of age = 6184,ColumnLength `age` = 6184
type of height is string,ColumnDataType `height` = 6184
length of age = 8222,ColumnLength `age` = 8222
type of holdings is string,ColumnDataType `holdings` = 8222
type of weight is int,ColumnDataType `weight` = 8222
ticker_symbol = 481192,ColumnValue `ticker_symbol` = 481192
length of salary = 9579,ColumnLength `salary` = 9579
type of weight is float,ColumnDataType `weight` = 9579
type of cusip is string,ColumnDataType `cusip` = 9579
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 9579
type of salary is float,ColumnDataType `salary` = 9579
type of cusip is float,ColumnDataType `cusip` = 9579
type of salary is float,ColumnDataType `salary` = 9579
salary <= 456297,ColumnValue `salary` <= 456297
type of cusip is boolean,ColumnDataType `cusip` = 456297
type of age is float,ColumnDataType `age` = 456297
salary = 574466,ColumnValue `salary` = 574466
length of ticker_symbol >= 7652,ColumnLength `ticker_symbol` >= 7652
cusip < 77675,ColumnValue `cusip` < 77675
salary < 613022,ColumnValue `salary` < 613022
length of age < 9548,ColumnLength `age` < 9548
length of weight = 3078,ColumnLength `weight` = 3078
length of age < 4723,ColumnLength `age` < 4723
length of weight = 6314,ColumnLength `weight` = 6314
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 6314
height < 724611,ColumnValue `height` < 724611
type of salary is float,ColumnDataType `salary` = 724611
type of weight is boolean,ColumnDataType `weight` = 724611
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 724611
type of age is boolean,ColumnDataType `age` = 724611
type of weight is string,ColumnDataType `weight` = 724611
height = 640229,ColumnValue `height` = 640229
length of height < 3347,ColumnLength `height` < 3347
type of salary is string,ColumnDataType `salary` = 3347
age > 122341,ColumnValue `age` > 122341
weight > 394174,ColumnValue `weight` > 394174
